"listing_id","avg_sentiment","review_count","complaint_counts","top_complaint","top_complaint_n","example_snippet","complaint_snippets"
"731699536996615598","0.4666724137931034","87","{""maintenance"": 1}","maintenance","1.0","the apartment was very nice, the balcony is amazing, the only caveat was the shower- the clean and cozy, with handy soap and shampoo, but the water pressure was minimal all through the stay :(","{""maintenance"": ""the apartment was very nice, the balcony is amazing, the only caveat was the shower- the clean and cozy, with handy soap and shampoo, but the water pressure was minimal all through the stay :(""}"
"731836342068559839","0.12329999999999999","14","{""accuracy"": 1}","accuracy","1.0","the place matches the photos and description, instructions for self checkin were very clear and easy to get to the place, location is right behind Gran Via with all the shops and restaurants around..only problem i faced that is not related to the property itself was the parking was very difficult in","{""accuracy"": ""the place matches the photos and description, instructions for self checkin were very clear and easy to get to the place, location is right behind Gran Via with all the shops and restaurants around..only problem i faced that is not related to the property itself was the parking was very difficult in""}"
"731842814670008803","0.4348388888888889","18","","","","",""
"731848948959334413","0.44802","5","","","","",""
"731850972127877883","0.14033333333333334","3","","","","",""
"731990137287254882","0.08670000000000001","9","","","","",""
"732342376134135744","0.130412","50","","","","",""
"732360782512741765","0.24248115942028986","69","{""noise"": 1}","noise","1.0","a but noisy in the evening, but absolutely quiet the rest of the day","{""noise"": ""a but noisy in the evening, but absolutely quiet the rest of the day""}"
"732361645303309334","0.9232","3","","","","",""
"732374080818982930","0.060562500000000005","32","{""comfort"": 1}","comfort","1.0","The bed mattress was  poor quality, and the bed and apartment were smaller compared to the pictures.","{""comfort"": ""The bed mattress was  poor quality, and the bed and apartment were smaller compared to the pictures.""}"
"732496373992398351","-0.9823","1","{""maintenance"": 1, ""comfort"": 1}","maintenance","1.0","We were not told how to use the air conditioning and with a locked door, No windows and no light we were unable to breath.","{""maintenance"": ""We were not told how to use the air conditioning and with a locked door, No windows and no light we were unable to breath."", ""comfort"": ""We were not told how to use the air conditioning and with a locked door, No windows and no light we were unable to breath.""}"
"732499431010790333","0.2934583333333333","12","","","","",""
"732501576259430953","0.1622375","8","","","","",""
"732526451134326330","0.4769714285714286","105","{""comfort"": 1, ""cleanliness"": 1}","comfort","1.0","A long, thin brown hair was prominently placed in the center of the pillow, appearing to be surrounded by a dried lake of what we could only assume was olive oil.","{""comfort"": ""A long, thin brown hair was prominently placed in the center of the pillow, appearing to be surrounded by a dried lake of what we could only assume was olive oil."", ""cleanliness"": ""What I really have to mention is that there is a severe mold issue in the home, you can see it everywhere; restroom, kitchen, upstairs.""}"
"732902738453144201","-0.029724999999999994","8","","","","",""
"733028239736065295","0.4242","2","","","","",""
"733203321284276483","0.57326","15","","","","",""
"733629073082179906","0.2292","6","","","","",""
"733751419735766603","0.105375","4","","","","",""
"733804610877297930","0.2604160714285714","56","","","","",""
"733922698888691924","0.38982903225806453","31","","","","",""
"733931255067719613","0.0463","10","","","","",""
"734099051949030456","0.7140051948051949","77","{""cleanliness"": 1}","cleanliness","1.0","La cocina bien dotada cuenta con una completa vajilla con bandejas, moldes refractarios, etcétera.","{""cleanliness"": ""La cocina bien dotada cuenta con una completa vajilla con bandejas, moldes refractarios, etc\u00e9tera.""}"
"734149890966896898","0.4539991228070176","114","","","","",""
"734156458639298772","0.28441666666666665","24","","","","",""
"734418627194540699","0.09831875","16","","","","",""
"734451474763001383","-0.012215624999999994","32","{""wifi"": 1}","wifi","1.0","Todo funciona perfectamente: la nevera, la lavadora, el internet, etc.","{""wifi"": ""Todo funciona perfectamente: la nevera, la lavadora, el internet, etc.""}"
"734457541375546170","0.0","1","","","","",""
"734461848499962640","0.3695968253968254","63","","","","",""
"734469860967841618","0.3337478260869565","23","","","","",""
"734488822910488637","0.21420714285714285","28","","","","",""
"734492712648941371","0.09884464285714287","56","{""cleanliness"": 1}","cleanliness","1.0","Garbage bins were across the street and again because we had to have windows open it was very smelly and filled the apt with bad odor.","{""cleanliness"": ""Garbage bins were across the street and again because we had to have windows open it was very smelly and filled the apt with bad odor.""}"
"734632630344228537","0.48650588235294123","51","","","","",""
"734709348480057794","0.34370451127819546","266","{""maintenance"": 1}","maintenance","1.0","Elle m’a même laisser entrer dans une toilette le jour où je suis partie.","{""maintenance"": ""Elle m\u2019a m\u00eame laisser entrer dans une toilette le jour o\u00f9 je suis partie.""}"
"735205469072801071","0.36334","5","","","","",""
"735346065064465019","0.24808615384615382","65","{""maintenance"": 1, ""accuracy"": 1}","maintenance","1.0","Si he de mencionar cosas que se pudieran mejorar diría que hay poco espacio en los baños para poner toiletries, cepillo de dientes y peines...","{""maintenance"": ""Si he de mencionar cosas que se pudieran mejorar dir\u00eda que hay poco espacio en los ba\u00f1os para poner toiletries, cepillo de dientes y peines..."", ""accuracy"": ""Nous recommandons ce Airbnb qui correspondait en tout point aux photos et \u00e0 la description !""}"
"735391920130472730","0.43279906542056074","107","","","","",""
"735415947394885507","0.3216974025974026","77","","","","",""
"735505893839785317","0.4906555555555556","18","","","","",""
"735564050050881564","0.1284742857142857","105","{""maintenance"": 1}","maintenance","1.0","Ich steckte fast eine Stunde fest als ich nachts auf Toilette war und aus Gewohnheit die Tür hinter mir verschlossen habe.","{""maintenance"": ""Ich steckte fast eine Stunde fest als ich nachts auf Toilette war und aus Gewohnheit die T\u00fcr hinter mir verschlossen habe.""}"
"735577645332000461","0.2584688888888889","90","{""cleanliness"": 1, ""comfort"": 1}","cleanliness","1.0","Cocina: hay poca variedad de cuchillo para hacer comida casera, poca variedad de sartenes y ollas El molde para hacer lasaña estaba sucio de primera presentación  El panel de escape de humo la cocina eléctrica en el nivel 1 y 2 hace demasiado ruido a comparado con otros Host: hubiera sido más agrada","{""cleanliness"": ""Cocina: hay poca variedad de cuchillo para hacer comida casera, poca variedad de sartenes y ollas El molde para hacer lasa\u00f1a estaba sucio de primera presentaci\u00f3n  El panel de escape de humo la cocina el\u00e9ctrica en el nivel 1 y 2 hace demasiado ruido a comparado con otros Host: hubiera sido m\u00e1s agrada"", ""comfort"": ""The bed mattress is worn out and sagged horribly in the middle.""}"
"735898847915406794","0.21134027777777778","144","{""wifi"": 1}","wifi","1.0","Airbnb sollte diese Wohnung nicht mehr auf ihre Internetseite anbieten.","{""wifi"": ""Airbnb sollte diese Wohnung nicht mehr auf ihre Internetseite anbieten.""}"
"735979715877732955","0.20856938775510206","49","{""noise"": 1, ""maintenance"": 1, ""comfort"": 1}","noise","1.0","I was exhausted when I arrived so I forced myself to overlook the fact that it was Halloween and therefore the bar under the apartment was incredibly busy and loud.","{""noise"": ""I was exhausted when I arrived so I forced myself to overlook the fact that it was Halloween and therefore the bar under the apartment was incredibly busy and loud."", ""maintenance"": ""That served as an unpleasant but effective alarm clock for me."", ""comfort"": ""Also, the apartment was very small, the bed was narrow with a poor-quality mattress, and one side was so soft I actually fell off twice while getting up.""}"
